Date,Track,Race,Plc,Rug,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,Sire,Dam,SP
"Saturday, May 10",Wentworth Park (NSW),5,SCR,Rug 10,On The Razzle,Gregory Hore,,,,,,Wow,Soaring Hawke,
"Saturday, May 10",Wentworth Park (NSW),6,1,Rug 1,Canya Brew It (1),Joseph Mcfadyen,29.96,0.00,5.57,552,30.7kg,Fernando Bale,Sandave Sky,$2.60
"Saturday, May 10",Wentworth Park (NSW),6,2,Rug 7,Dynamic Drummer (7),Ruth King,30.00,0.75,5.61,864,31.3kg,Fernando Bale,Sonata,$5.50
"Saturday, May 10",Wentworth Park (NSW),6,3,Rug 4,Casari (4),Shannon Boyd,30.00,0.75,5.44,111,26.5kg,Pindari Express,Lagoon Sunshine,$4.40
"Saturday, May 10",Wentworth Park (NSW),6,4,Rug 2,Pure Silver (2),Neil Staines,30.09,1.75,5.62,783,33.1kg,Pindari Express,Where's The Lady,$5.00
"Saturday, May 10",Wentworth Park (NSW),6,5,Rug 5,Epic Story (5),David Smith,30.55,8.25,5.61,676,33.5kg,Aston Rupee,Ice Cream Story,$9.00
"Saturday, May 10",Wentworth Park (NSW),6,6,Rug 6,Flying Goddess (6),Leeanne Walker,30.62,9.25,5.56,238,28.0kg,Sennachie,Flying Ella,$21.00
"Saturday, May 10",Wentworth Park (NSW),6,7,Rug 3,My Moon Shadow (3),Samuel Rees,30.63,9.50,5.57,345,29.6kg,Blue Moon Rising,Dolly Double One,$41.00
"Saturday, May 10",Wentworth Park (NSW),6,8,Rug 8,Zipping Hedwig (8),Tess Simmons,30.69,10.25,5.55,427,25.7kg,Keybow,Zipping Miranda,$23.00
"Saturday, May 10",Wentworth Park (NSW),6,SCR,Rug 9,Where's Nanny,Harry Sarkis,,,,,,Fernando Bale,Speedy Lulu,
"Saturday, May 10",Wentworth Park (NSW),6,SCR,Rug 10,Super Sequin,Alicia Pratt,,,,,,Razor's Edge,Super C Azelle,
"Saturday, May 10",Wentworth Park (NSW),7,1,Rug 2,Curyo Dancer (2),Samuel Rees,42.96,0.00,16.50,412,28.9kg,Blue Moon Rising,Dolly Double One,$23.00
"Saturday, May 10",Wentworth Park (NSW),7,2,Rug 1,Paw Dimetra (1),Wayne White,43.07,1.50,16.56,121,27.9kg,Allen Deed,Fanta Bale,$5.00
"Saturday, May 10",Wentworth Park (NSW),7,3,Rug 8,I'm Sally (8),Rebecca Edenborough,43.07,1.50,16.75,243,24.0kg,Fernando Bale,Vicki Keeping,$1.70
"Saturday, May 10",Wentworth Park (NSW),7,4,Rug 5,Moorong Marvel (5),Angela Della Bosca,43.09,1.75,16.88,355,30.4kg,Aussie Infrared,Nikolina,$3.50
"Saturday, May 10",Wentworth Park (NSW),7,5,Rug 7,Blue Sue (7),Harry Sarkis,43.09,1.75,17.02,566,28.3kg,My Bro Fabio,Big Skinny,$71.00
"Saturday, May 10",Wentworth Park (NSW),7,6,Rug 4,Siska Lucy (4),Gregory Hore,43.27,4.25,16.67,634,28.3kg,Wow,Soaring Hawke,$21.00
"Saturday, May 10",Wentworth Park (NSW),8,1,Rug 8,Ali Tango (8),Joseph Mcfadyen,29.77,0.00,5.51,431,33.6kg,Benali,Cell Block Tango,$5.00
"Saturday, May 10",Wentworth Park (NSW),8,2,Rug 2,Ferrero Girl (2),Preston Rowles,29.85,1.00,5.48,212,26.5kg,Brad Hill Billy,Ferrero Miss,$10.00
"Saturday, May 10",Wentworth Park (NSW),8,3,Rug 1,Trunkey Chief (1),Anthony Godden,29.89,1.75,5.61,673,30.3kg,Fernando Bale,Riley's Mariah,$7.50
"Saturday, May 10",Wentworth Park (NSW),8,4,Rug 5,Zadie Bale (5),Ike McCorkindale,29.91,2.00,5.74,884,28.8kg,Orson Allen,Dyna Yezza,$14.00
"Saturday, May 10",Wentworth Park (NSW),8,5,Rug 7,My Monroe (7),Susan Smith,30.27,7.00,5.50,125,28.6kg,Aston Rupee,My Sapphire,$4.80
"Saturday, May 10",Wentworth Park (NSW),8,6,Rug 6,Still Available (6),Garry Coles,30.31,7.75,5.60,767,29.7kg,Fernando Bale,Still Blue,$9.50
"Saturday, May 10",Wentworth Park (NSW),8,7,Rug 3,Talk About It (3),Kristy Sultana,30.32,7.75,5.54,346,29.8kg,Flying Ricciardo,Talk About Katie,$3.20
"Saturday, May 10",Wentworth Park (NSW),8,8,Rug 4,West Rock Casey (4),Mary Hughes,31.01,17.75,5.57,558,31.8kg,Fernando Bale,Zipping Kelly,$8.50
"Saturday, May 10",Wentworth Park (NSW),9,1,Rug 5,Allan Keeping (5),Jason Magri,29.88,0.00,5.55,621,32.9kg,Fernando Bale,Ruby Keeping,$1.95
"Saturday, May 10",Wentworth Park (NSW),9,2,Rug 8,Zipping Kirk (8),Courtney Barnes,29.97,1.25,5.56,433,34.6kg,Goodesy,Zipping Truvy,$5.50
"Saturday, May 10",Wentworth Park (NSW),9,3,Rug 1,Hush Hush (1),Sam Sultana,30.03,2.00,5.54,512,34.3kg,Barcia Bale,Mrs. Mouse,$4.20
"Saturday, May 10",Wentworth Park (NSW),9,4,Rug 3,Fascinate Kath (3),Noelene Holloway,30.20,4.50,5.59,354,27.1kg,Fernando Bale,Funky Portelli,$21.00
"Saturday, May 10",Wentworth Park (NSW),9,5,Rug 6,Vivid Memory (6),Kayla-jane Coleman,30.22,4.75,5.60,266,24.7kg,Aussie Infrared,Memory Remains,$9.00
"Saturday, May 10",Wentworth Park (NSW),9,6,Rug 7,Big Town Skye (7),Trevor Robinson,30.37,7.00,5.58,147,25.9kg,Tommy Shelby,Little Big Town,$8.50
"Saturday, May 10",Wentworth Park (NSW),9,7,Rug 4,Siska Roy (4),Gregory Hore,30.46,8.25,5.70,775,33.0kg,Wow,Soaring Hawke,$51.00
"Saturday, May 10",Wentworth Park (NSW),9,SCR,Rug 2,Skedaddle Arlo,Mark Suttle,,,,,,Aston Rupee,Skedaddle Tess,
"Saturday, May 10",Wentworth Park (NSW),9,SCR,Rug 9,Billy Ray's Girl,Victor Sultana,,,,,,Fernando Bale,Silent Enemy,
"Saturday, May 10",Wentworth Park (NSW),9,SCR,Rug 10,She's A Star,Wayne Meilak,,,,,,Bernardo,West On Jill,
"Saturday, May 10",Wentworth Park (NSW),10,1,Rug 8,Ashby Doha (8),Allan Manwaring,29.95,0.00,5.55,322,30.0kg,Tommy Shelby,Ashby Rebel,$21.00
"Saturday, May 10",Wentworth Park (NSW),10,2,Rug 2,Zipping Hasler (2),Jason Magri,29.96,0.13,5.61,443,32.5kg,Feral Franky,Zipping Niseko,$3.00
"Saturday, May 10",Wentworth Park (NSW),10,3,Rug 1,Mark To Market (1),Darryl Thomas,30.06,1.50,5.48,111,31.3kg,My Redeemer,Carry The One,$3.50
"Saturday, May 10",Wentworth Park (NSW),10,4,Rug 3,Balmoral Queen (3),Angela Della Bosca,30.21,3.75,5.59,234,26.2kg,Fernando Blaster,Lollobrigida,$21.00
"Saturday, May 10",Wentworth Park (NSW),10,5,Rug 5,Zipping Marquez (5),Melinda Finn,30.31,5.25,5.69,656,32.2kg,Zipping Garth,Zipping Pepper,$3.30
"Saturday, May 10",Wentworth Park (NSW),10,6,Rug 9,Super Sequin (4),Alicia Pratt,30.32,5.25,5.74,565,28.1kg,Razor's Edge,Super C Azelle,$101.00
"Saturday, May 10",Wentworth Park (NSW),10,DNF,Rug 7,Bandit Chloe (7),Shaun Guthrie,,,,,26.3kg,Primo Uno,Nangar Diva,
"Saturday, May 10",Wentworth Park (NSW),10,SCR,Rug 4,Cool Junior,Peter Lagogiane,,,,,,Handsome Prince,Pay Call,
"Saturday, May 10",Wentworth Park (NSW),10,SCR,Rug 6,Canya Dazzle,Wayne Meilak,,,,,,Collision,Opal Rocks,
"Saturday, May 10",Wentworth Park (NSW),10,SCR,Rug 10,Sister Two,Anthony Pagano,,,,,,Beast Unleashed,Spritely Mae,
"Saturday, May 10",Wentworth Park (NSW),11,1,Rug 5,Snowman (5),John Smart,30.06,0.00,5.55,222,29.4kg,Fernando Bale,Lovelace,$3.70
"Saturday, May 10",Wentworth Park (NSW),11,2,Rug 3,Fiery Ruby (3),Christopher Nutt,30.08,0.25,5.49,111,27.8kg,Barcia Bale,Diamond Ruby,$10.00
"Saturday, May 10",Wentworth Park (NSW),11,3,Rug 10,Jo John John (6),Wayne Dargan,30.26,2.75,5.70,565,31.8kg,Sennachie,Cosmic Barbie,$23.00
"Saturday, May 10",Wentworth Park (NSW),11,4,Rug 2,Sirius Thinking (2),David Smith,30.29,3.25,5.62,444,28.2kg,Fabregas,Jenneke,$12.00
"Saturday, May 10",Wentworth Park (NSW),11,5,Rug 7,She's A Star (7),Wayne Meilak,30.30,3.50,5.58,333,27.5kg,Bernardo,West On Jill,$2.00
"Saturday, May 10",Wentworth Park (NSW),11,6,Rug 1,My Lucy Rose (1),Ashleigh Harris,30.35,4.25,5.69,657,27.5kg,Aussie Infrared,Aria's The One,$10.00
"Saturday, May 10",Wentworth Park (NSW),11,7,Rug 4,Mister O'brien (4),Glenn Bryen,30.50,6.25,5.75,776,31.9kg,Fernando Bale,China O'brien,$9.00
"Saturday, May 10",Wentworth Park (NSW),11,SCR,Rug 6,Not Certain,Alex Anderson,,,,,,Unlawful Entry,Sketchy Fanta,
"Saturday, May 10",Wentworth Park (NSW),11,SCR,Rug 8,Glaski Poke,John Woods,,,,,,Hard Style Rico,Sandave Rebel,
"Saturday, May 10",Wentworth Park (NSW),11,SCR,Rug 9,Jimmy Bale,Ike McCorkindale,,,,,,Feral Franky,Jaclyn Bale,
